id,country_id/id,name,zipcode,state_id/id,code
city_ba_71123,base.ba,Istočno Sarajevo,71123,l10n_bs.state_ba_er
city_ba_77208,base.ba,Izačić,77208,l10n_bs.state_ba_ef
city_ba_88420,base.ba,Jablanica,88420,l10n_bs.state_ba_ef
city_ba_70101,base.ba,Jajce,70101,l10n_bs.state_ba_ef,042
city_ba_76316,base.ba,Janja,76316,l10n_bs.state_ba_er
city_ba_72215,base.ba,Janjići,72215,l10n_bs.state_ba_k_ze
city_ba_74264,base.ba,Jelah,74264,l10n_bs.state_ba_ef
city_ba_70206,base.ba,Jezero,70206,l10n_bs.state_ba_er
city_ba_72264,base.ba,Kaćuni,72264,l10n_bs.state_ba_ef
city_ba_72240,base.ba,Kakanj,72240,l10n_bs.state_ba_k_ze,043
city_ba_75260,base.ba,Kalesija,75260,l10n_bs.state_ba_k_tz
city_ba_71230,base.ba,Kalinovik,71230,l10n_bs.state_ba_er
city_ba_70235,base.ba,Karadže,70235,l10n_bs.state_ba_ef
city_ba_72284,base.ba,Karaula,72284,l10n_bs.state_ba_ef
city_ba_71213,base.ba,Kasindo,71213,l10n_bs.state_ba_er
city_ba_71250,base.ba,Kiseljak,71250,l10n_bs.state_ba_k_sb
city_ba_75211,base.ba,Kiseljak kod Tuzle,75211,l10n_bs.state_ba_k_tz
city_ba_75280,base.ba,Kladanj,75280,l10n_bs.state_ba_k_tz
city_ba_74207,base.ba,Klokotnica,74207,l10n_bs.state_ba_ef
city_ba_79280,base.ba,Ključ,79280,l10n_bs.state_ba_k_usk
city_ba_78230,base.ba,Kneževo,78230,l10n_bs.state_ba_er
city_ba_71356,base.ba,Knežina,71356,l10n_bs.state_ba_er
city_ba_88400,base.ba,Konjic,88400,l10n_bs.state_ba_k_hn
city_ba_78220,base.ba,Kotor Varoš,78220,l10n_bs.state_ba_er
city_ba_74215,base.ba,Kotorsko,74215,l10n_bs.state_ba_er
city_ba_72226,base.ba,Kovači (Zavidovići),72226,l10n_bs.state_ba_k_ze
city_ba_79202,base.ba,Kozarac,79202,l10n_bs.state_ba_er
city_ba_79240,base.ba,Kozarska Dubica,79240,l10n_bs.state_ba_er
city_ba_75413,base.ba,Kozluk,75413,l10n_bs.state_ba_er
city_ba_72244,base.ba,Kraljeva Sutjeska,72244,l10n_bs.state_ba_ef
city_ba_71260,base.ba,Kreševo,71260,l10n_bs.state_ba_ef
city_ba_78206,base.ba,Krupa na Vrbasu,78206,l10n_bs.state_ba_er
city_ba_77206,base.ba,Kulen Vakuf,77206,l10n_bs.state_ba_k_usk
city_ba_80320,base.ba,Kupres,80320,l10n_bs.state_ba_ef
city_ba_78250,base.ba,Laktaši,78250,l10n_bs.state_ba_er
city_ba_71254,base.ba,Lepenica,71254,l10n_bs.state_ba_ef
city_ba_75213,base.ba,Lipnica,75213,l10n_bs.state_ba_ef
city_ba_80101,base.ba,Livno,80101,l10n_bs.state_ba_ef
city_ba_76278,base.ba,Lončari,76278,l10n_bs.state_ba_er
city_ba_75240,base.ba,Lopare,75240,l10n_bs.state_ba_er
city_ba_75300,base.ba,Lukavac,75300,l10n_bs.state_ba_k_tz
city_ba_79206,base.ba,Ljubija,79206,l10n_bs.state_ba_er
city_ba_88320,base.ba,Ljubuški,88320,l10n_bs.state_ba_ef
city_ba_74250,base.ba,Maglaj,74250,l10n_bs.state_ba_k_ze,060
city_ba_74216,base.ba,Majevac,74216,l10n_bs.state_ba_er
city_ba_76208,base.ba,Maoča,76208,l10n_bs.state_ba_ef
city_ba_74203,base.ba,Matuzići,74203,l10n_bs.state_ba_k_ze
city_ba_88266,base.ba,Međugorje,88266,l10n_bs.state_ba_ef
city_ba_72282,base.ba,Mehurići,72282,l10n_bs.state_ba_k_ze
city_ba_75446,base.ba,Milići,75446,l10n_bs.state_ba_er
city_ba_73313,base.ba,Miljevina,73313,l10n_bs.state_ba_er
city_ba_74480,base.ba,Modriča,74480,l10n_bs.state_ba_er
city_ba_71428,base.ba,Mokro,71428,l10n_bs.state_ba_er
city_ba_88000,base.ba,Mostar,88000,l10n_bs.state_ba_ef
city_ba_70260,base.ba,Mrkonjić Grad,70260,l10n_bs.state_ba_er
