"code","id","account_type","chart_template_id/id","name","note","reconcile"
"312","bs_fbih_312","equity","l10n_bs.l10n_bs_fbih_chart_template","Upisani neuplaćeni udjeli",,
"319","bs_fbih_319","equity","l10n_bs.l10n_bs_fbih_chart_template","Ostali upisani neuplaćeni kapital",,
"320","bs_fbih_320","equity","l10n_bs.l10n_bs_fbih_chart_template","Emisiona premija",,
"321","bs_fbih_321","equity","l10n_bs.l10n_bs_fbih_chart_template","Zakonske rezerve",,
"322","bs_fbih_322","equity","l10n_bs.l10n_bs_fbih_chart_template","Statutarne i druge rezerve",,
"330","bs_fbih_330","equity","l10n_bs.l10n_bs_fbih_chart_template","Revalorizacione rezerve iz osnova revalorizacije stalnih sredstava",,
"331","bs_fbih_331","equity","l10n_bs.l10n_bs_fbih_chart_template","Razlike nastale prevođenjem finansijskih izvještaja u valutu prezentacije",,
"332","bs_fbih_332","equity","l10n_bs.l10n_bs_fbih_chart_template","Nerealizovani dobici iz osnova finansijskih sredstava raspoloživih za prodaju",,
"333","bs_fbih_333","equity","l10n_bs.l10n_bs_fbih_chart_template","Nerealizovani gubici iz osnova finansijskih sredstava raspoloživih za prodaju",,
"339","bs_fbih_339","equity","l10n_bs.l10n_bs_fbih_chart_template","Ostale revalorizacione rezerve i nerealizovani dobici i gubici",,
"340","bs_fbih_340","equity","l10n_bs.l10n_bs_fbih_chart_template","Neraspoređena dobit ranijih godina",,
"341","bs_fbih_341","equity","l10n_bs.l10n_bs_fbih_chart_template","Neraspoređena dobit izvještajne godine",,
"342","bs_fbih_342","equity","l10n_bs.l10n_bs_fbih_chart_template","Neraspoređeni višak prihoda ranijih godina",,
"343","bs_fbih_343","equity","l10n_bs.l10n_bs_fbih_chart_template","Neraspoređeni višak prihoda izvještajne godine",,
"350","bs_fbih_350","equity","l10n_bs.l10n_bs_fbih_chart_template","Gubitak ranijih godina",,
"351","bs_fbih_351","equity_unaffected","l10n_bs.l10n_bs_fbih_chart_template","Gubitak izvještajne godine",,
"352","bs_fbih_352","equity","l10n_bs.l10n_bs_fbih_chart_template","Nepokriveni višak rashoda ranijih godina",,
"353","bs_fbih_353","equity","l10n_bs.l10n_bs_fbih_chart_template","Nepokriveni višak rashoda izvještajne godine",,
"360","bs_fbih_360","equity","l10n_bs.l10n_bs_fbih_chart_template","Otkupljene vlastite dionice i udjeli",,
"400","bs_fbih_400","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Rezervisanja za troškove u garantnom roku",,
"401","bs_fbih_401","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Rezervisanja za troškove obnavljanja prirodnih bogatstava",,
"402","bs_fbih_402","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Rezervisanja za zadržane kaucije i depozite",,
"403","bs_fbih_403","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Rezervisanja za troškove restrukturiranja",,
"404","bs_fbih_404","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Rezervisanja za naknade i beneficije zaposlenika",,
"405","bs_fbih_405","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Rezervisanja po započetim sudskim sporovima",,
"406","bs_fbih_406","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Rezervisanja po štetnim ugovorima",,
"407","bs_fbih_407","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Unaprijed naplaćeni i drugi odloženi prihodi",,
"408","bs_fbih_408","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Odložene porezne obaveze",,
"409","bs_fbih_409","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Ostala dugoročna rezervisanja i razgraničenja",,
"410","bs_fbih_410","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze koje se mogu konvertovati u kapital",,
"411","bs_fbih_411","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Dugoročne obaveze prema povezanim pravnim licima",,
"412","bs_fbih_412","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze po emitovanim dugoročnim vrijednosnim papirima",,
"413","bs_fbih_413","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Dugoročni krediti uzeti u zemlji",,
"414","bs_fbih_414","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Dugoročni krediti uzeti u inostranstvu",,
"415","bs_fbih_415","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Dugoročne obaveze po finansijskom lizingu u zemlji",,
"416","bs_fbih_416","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Dugoročne obaveze po finansijskom lizingu u inostranstvu",,
"417","bs_fbih_417","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Dugoročne obaveze po fer vrijednosti kroz račun dobiti i gubitka",,
"419","bs_fbih_419","liability_non_current","l10n_bs.l10n_bs_fbih_chart_template","Ostale dugoročne obaveze",,
"420","bs_fbih_420","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze prema povezanim pravnim licima",,
"421","bs_fbih_421","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze po emitovanim kratkoročnim vrijednosnim papirima",,
"422","bs_fbih_422","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Kratkoročni krediti uzeti u zemlji",,
"423","bs_fbih_423","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Kratkoročni krediti uzeti u inostranstvu",,
"424","bs_fbih_424","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Kratkoročni dio dugoročnih kredita",,
"425","bs_fbih_425","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Kratkoročni dio dugoročnih obaveza po finansijskom lizingu",,
"427","bs_fbih_427","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Kratkoročne obaveze po fer vrijednosti kroz račun dobiti i gubitka",,
"429","bs_fbih_429","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Ostale kratkoročne finansijske obaveze",,
"430","bs_fbih_430","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Primljeni avansi, depoziti i kaucije",,
"431","bs_fbih_431","liability_payable","l10n_bs.l10n_bs_fbih_chart_template","Dobavljači - povezana pravna lica",,"True"
"432","bs_fbih_432","liability_payable","l10n_bs.l10n_bs_fbih_chart_template","Dobavljači u zemlji",,"True"
"433","bs_fbih_433","liability_payable","l10n_bs.l10n_bs_fbih_chart_template","Dobavljači u inostranstvu",,"True"
"439","bs_fbih_439","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Ostale obaveze iz poslovanja",,
"440","bs_fbih_440","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze prema uvozniku",,
"441","bs_fbih_441","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze po osnovu izvoza za tuđi račun",,
"442","bs_fbih_442","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze po osnovu komisione i konsignacione prodaje",,
"443","bs_fbih_443","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze iz zajedničkih poslova",,
"449","bs_fbih_449","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Ostale obaveze iz specifičnih poslova",,
"450","bs_fbih_450","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za neto plaće i naknade plaća",,
"451","bs_fbih_451","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za porez i posebne dažbine na plaće i naknade plaća",,
"452","bs_fbih_452","liability_current","l10n_bs.l10n_bs_fbih_chart_template","Obaveze za doprinose u vezi plaća i naknada plaća",,
